State,District,University Type,Name of the University,Location (Rural/ Urban),Women's University (Yes/No),List of Attached Colleges and Institutions - State,List of Attached Colleges and Institutions - District,List of Attached Colleges and Institutions - Type,List of Attached Colleges and Institutions - Management,List of Attached Colleges and Institutions - Name,List of Attached Colleges and Institutions - Location (Rural/Urban),List of Attached Colleges and Institutions - Women's College (Yes/No),List of Attached Colleges and Institutions - Whether Autonomous
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Sri Potti Sriramulu Nellore,Affiliated College,Private Un-Aided,SREE VENKATESWARA COLLEGE OF ENGINEERING (Id: C-44972),Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,"Vaishnavi Institute of Technology for Women, Tirupathi (Id: C-26883)",Rural,Yes,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Kurnool,Affiliated College,Private Un-Aided,DR K V SUBBA REDDY INSTITUTE OF MCA (Id: C-44977),Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Y.S.R.,Affiliated College,Private Un-Aided,Sri Venkateswara Institue of Technology & Sciences (Id: C-26970),Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,SRI VENKATESWARA COLLEGE OF COMPUTER SCIENCES (Id: C-44974),Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Chittoor,Affiliated College,Private Un-Aided,"Siddharth Institute of Engineering & Technology, Puttur (Id: C-26859)",Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Kurnool,Affiliated College,Private Un-Aided,DR K V SUBBA REDDY INSTITUTE OF MANAGEMENT (Id: C-44976),Rural,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Sri Potti Sriramulu Nellore,Affiliated College,Private Un-Aided,"Narayana Pharmacy College, Chinthareddypalem (Id: C-26937)",Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Y.S.R.,Affiliated College,Private Un-Aided,S V PG COLLEGE (Id: C-44979),Urban,No,No
Andhra Pradesh,Anantapur,State Public University,"Jawaharlal Nehru Technological University, Anantapur (Id: U-0016)",Rural,No,Andhra Pradesh,Sri Potti Sriramulu Nellore,Affiliated College,Private Un-Aided,Brahmaiah College of Engineering (Id: C-26936),Rural,No,No
